,Q Learning Algorithm,Episodes:1000,Cliff Walk

,Shortest Path
X-X-X-X,0.95,0.93
0.95,15,15
0.95,15,15
0.95,15,15
0.95,13,13
0.95,13,13

0.93,13,13
0.93,13,13
0.93,13,13
0.93,13,13
0.93,13,13


,Longest Path
X-X-X-X,0.95,0.93
0.95,1687,1687
0.95,1687,1687
0.95,1687,1687
0.95,1687,1687
0.95,1687,1687

0.93,1810,1810
0.93,1810,1810
0.93,1810,1810
0.93,1810,1810
0.93,1810,1810


,Total time
X-X-X-X,0.95,0.93
0.95,0:00:35.349662,0:00:46.874867
0.95,0:00:41.101929,0:00:47.142997
0.95,0:00:45.926304,0:00:42.061704
0.95,0:00:40.907315,0:00:43.194324
0.95,0:00:48.047094,0:00:54.320967

0.93,0:00:51.758652,0:00:48.090784
0.93,0:01:00.207046,0:00:58.238686
0.93,0:00:53.783627,0:01:04.623144
0.93,0:01:12.580452,0:01:00.044595
0.93,0:01:00.945614,0:01:08.693227


,Q Table
XXXXXX,0.95,,0.93,
,Final,Full,Final,Full
0.95,14,135,14,135
0.95,14,135,14,135
0.95,14,135,14,135
0.95,12,135,12,135
0.95,12,135,12,135

0.93,12,135,12,135
0.93,12,135,12,135
0.93,12,135,12,135
0.93,12,135,12,135
0.93,12,135,12,135

