,Q Learning Algorithm,Episodes:500,Obstacle

,Shortest Path
X-X-X-X,0.75,0.7,0.6
0.75,13,13,13
0.75,13,13,13
0.75,13,13,13
0.75,13,13,13

0.7,13,13,13
0.7,13,13,13
0.7,13,13,13
0.7,13,13,13

0.6,13,13,13
0.6,13,13,13
0.6,13,13,13
0.6,13,13,13


,Longest Path
X-X-X-X,0.75,0.7,0.6
0.75,464,515,595
0.75,595,595,595
0.75,595,595,595
0.75,948,948,948

0.7,948,1138,1138
0.7,1138,1138,1138
0.7,1138,1138,1138
0.7,1138,1138,1138

0.6,1138,1138,1138
0.6,1138,1138,1138
0.6,1138,1138,1138
0.6,1138,1138,1138


,Total time
X-X-X-X,0.75,0.7,0.6
0.75,0:00:22.248636,0:00:24.048943,0:00:28.918672
0.75,0:00:24.708360,0:00:24.179035,0:00:31.007461
0.75,0:00:27.868263,0:00:32.242812,0:00:30.807010
0.75,0:00:26.969827,0:00:33.209651,0:00:37.013283

0.7,0:00:36.068046,0:00:44.578484,0:00:37.958196
0.7,0:00:38.805906,0:00:44.358431,0:00:42.834756
0.7,0:00:36.601536,0:00:45.574268,0:00:44.869479
0.7,0:00:42.415278,0:00:37.479598,0:00:49.299391

0.6,0:00:42.802027,0:01:02.360683,0:00:58.474249
0.6,0:00:23.736844,0:00:17.032577,0:00:15.183547
0.6,0:00:13.569724,0:00:12.725299,0:00:15.868566
0.6,0:00:22.057772,0:00:14.171356,0:00:17.489893


,Q Table
XXXXXX,0.75,,0.7,,0.6,
,Final,Full,Final,Full,Final,Full
0.75,12,144,12,144,12,144
0.75,12,144,12,144,12,144
0.75,12,143,12,144,12,144
0.75,12,144,12,144,12,144

0.7,12,144,12,144,12,144
0.7,12,144,12,144,12,144
0.7,12,144,12,144,12,144
0.7,12,144,12,144,12,144

0.6,12,143,12,144,12,144
0.6,12,144,12,144,12,144
0.6,12,144,12,144,12,144
0.6,12,144,12,144,12,142

