,SARSA Learning Algorithm,Episodes:1000,Obstacle Walls

,Shortest Path
X-X-X-X,0.9,0.8
0.9,19,19
0.9,19,19
0.9,19,19
0.9,19,19
0.9,19,19

0.8,18,18
0.8,18,18
0.8,18,18
0.8,18,18
0.8,18,18


,Longest Path
X-X-X-X,0.9,0.8
0.9,1513,1513
0.9,1647,1647
0.9,1647,1647
0.9,2155,2155
0.9,2155,2155

0.8,2155,2155
0.8,2155,2155
0.8,2155,2155
0.8,2155,2155
0.8,2155,2155


,Total time
X-X-X-X,0.9,0.8
0.9,0:04:48.246139,0:03:14.943278
0.9,0:05:38.919249,0:03:40.887434
0.9,0:08:30.761624,0:04:04.641434
0.9,0:06:22.104247,0:04:17.268966
0.9,0:07:27.444460,0:04:56.685345

0.8,0:09:20.785100,0:05:03.114058
0.8,0:10:17.203026,0:05:48.190734
0.8,0:09:18.236741,0:05:30.006414
0.8,0:09:36.145119,0:06:46.539108
0.8,0:11:06.547946,0:06:18.979111


,Q Table
XXXXXX,0.9,,0.8,
,Final,Full,Final,Full
0.9,18,125,18,125
0.9,18,125,18,125
0.9,18,125,18,125
0.9,18,123,18,125
0.9,18,125,18,125

0.8,17,125,17,125
0.8,17,124,17,124
0.8,17,124,17,125
0.8,17,125,17,123
0.8,17,125,17,124

