Route,0.9,,,0.7,,
,Short,Long,Time,Short,Long,Time
0.7,13,791,0:00:48.973167,11,909,0:00:48.914233
0.6,11,909,0:00:51.066788,11,1620,0:00:58.022494

Q-Table,0.9,,0.7,
,Final,Full,Final,Full
0.7,12,144,10,144
0.6,10,144,10,144
