Route,0.9,,,0.8,,,0.7,,,0.6,,,0.5,,
,Short,Long,Time,Short,Long,Time,Short,Long,Time,Short,Long,Time,Short,Long,Time
0.9,13,1259,0:00:40.040714,13,1259,0:00:36.288942,13,1259,0:00:44.809574,11,1259,0:00:48.114938,11,1259,0:01:02.402926
0.8,11,1259,0:00:49.458003,11,1259,0:00:45.913919,11,1259,0:00:53.944456,11,1505,0:01:07.378899,11,1505,0:01:29.403890
0.7,11,1505,0:00:51.667025,11,1505,0:00:55.126607,11,1505,0:01:09.007558,11,1505,0:01:17.561515,11,1505,0:02:14.085540
0.6,11,1505,0:01:17.582763,11,1505,0:01:20.028145,11,1505,0:01:49.160093,11,1505,0:01:41.753249,11,1590,0:02:39.982127
0.5,11,1590,0:01:39.895172,11,1590,0:01:57.322735,11,1590,0:01:30.400075,11,1590,0:01:40.985105,11,1590,0:02:09.781070

Q-Table,0.9,,0.8,,0.7,,0.6,,0.5,
,Final,Full,Final,Full,Final,Full,Final,Full,Final,Full
0.9,12,142,12,144,12,144,10,144,10,144
0.8,10,144,10,144,10,144,10,144,10,144
0.7,10,144,10,138,10,143,10,144,10,144
0.6,10,144,10,144,10,144,10,144,10,144
0.5,10,144,10,144,10,144,10,144,10,144
