Route,0.6,,,0.5,,,0.4,,
,Short,Long,Time,Short,Long,Time,Short,Long,Time
0.7,166,247,0:00:02.724530,60,707,0:00:03.230791,60,707,0:00:02.815959
0.6,60,707,0:00:05.211451,60,707,0:00:03.366446,60,707,0:00:04.137945

Q-Table,0.6,,0.5,,0.4,
,Final,Full,Final,Full,Final,Full
0.7,56,143,59,144,58,143
0.6,59,143,54,135,53,135
