,SARSA Learning Algorithm,Episodes:1000,Cliff Walk

,Shortest Path
X-X-X-X,0.9,0.8,0.7
0.9,17,17,17
0.9,15,15,15
0.9,15,15,15
0.9,15,15,15
0.9,15,15,15

0.8,15,15,15
0.8,15,15,15
0.8,15,15,15
0.8,15,15,15
0.8,15,15,15


,Longest Path
X-X-X-X,0.9,0.8,0.7
0.9,237,237,397
0.9,397,397,609
0.9,1137,1137,1137
0.9,1137,1137,1137
0.9,1137,1137,1137

0.8,1137,22038,22038
0.8,22038,22038,22038
0.8,22038,22038,32432
0.8,32432,32432,32432
0.8,32432,32432,32432


,Total time
X-X-X-X,0.9,0.8,0.7
0.9,0:00:33.031645,0:00:35.494965,0:00:48.734795
0.9,0:00:37.658825,0:00:44.924717,0:00:58.636394
0.9,0:00:46.022506,0:00:53.827415,0:00:49.526498
0.9,0:00:45.943070,0:00:57.444926,0:00:54.743771
0.9,0:00:45.111637,0:00:49.566538,0:01:00.502247

0.8,0:00:52.953171,0:01:39.253126,0:04:52.264077
0.8,0:00:57.070140,0:00:54.315211,0:00:59.457269
0.8,0:00:53.304990,0:00:58.306576,0:06:10.534029
0.8,0:00:56.591276,0:01:03.275800,0:01:08.499527
0.8,0:01:01.380062,0:01:03.405188,0:01:09.881137


,Q Table
XXXXXX,0.9,,0.8,,0.7,
,Final,Full,Final,Full,Final,Full
0.9,16,63,16,63,16,63
0.9,14,63,14,63,14,63
0.9,14,63,14,63,14,63
0.9,14,63,14,63,14,63
0.9,14,63,14,63,14,63

0.8,14,63,14,63,14,63
0.8,14,63,14,63,14,63
0.8,14,63,14,63,14,63
0.8,14,63,14,63,14,63
0.8,14,63,14,63,14,63

