,Q Learning Algorithm,Episodes:1000,Cliff Walk

,Shortest Path
X-X-X-X,0.85,0.75,0.7,0.65,0.6
0.85,13,13,13,13,13
0.85,13,13,13,13,13
0.85,13,13,13,13,13
0.85,13,13,13,13,13
0.85,13,13,13,13,13


,Longest Path
X-X-X-X,0.85,0.75,0.7,0.65,0.6
0.85,166,325,325,325,325
0.85,325,325,367,367,367
0.85,367,367,367,367,367
0.85,367,367,367,367,367
0.85,367,367,367,367,367


,Total time
X-X-X-X,0.85,0.75,0.7,0.65,0.6
0.85,0:00:29.140897,0:00:29.410721,0:00:31.593635,0:00:31.467343,0:00:30.640530
0.85,0:00:38.525759,0:00:38.067753,0:00:37.956686,0:00:38.212232,0:00:38.093768
0.85,0:00:48.387178,0:00:46.549376,0:00:46.113669,0:00:47.274650,0:00:44.134139
0.85,0:00:57.265124,0:00:53.616430,0:00:55.377509,0:00:53.031151,0:00:51.542436
0.85,0:01:07.543449,0:01:01.346893,0:01:01.111886,0:01:01.360624,0:01:00.132998


,Q Table
XXXXXX,0.85,,0.75,,0.7,,0.65,,0.6,
,Final,Full,Final,Full,Final,Full,Final,Full,Final,Full
0.85,12,63,12,63,12,63,12,63,12,63
0.85,12,63,12,63,12,63,12,63,12,63
0.85,12,63,12,63,12,63,12,63,12,63
0.85,12,63,12,63,12,63,12,63,12,63
0.85,12,63,12,63,12,63,12,63,12,63

