,SARSA Learning Algorithm,Episodes:1000,In-Path Obstacle

,Shortest Path
X-X-X-X,0.9,0.8,0.7
0.9,12,12,12
0.9,12,12,12
0.9,12,12,12
0.9,12,12,12
0.9,12,12,12
0.9,12,12,12
0.9,12,12,12
0.9,12,12,12
0.9,12,12,12
0.9,12,12,12

0.8,12,12,12
0.8,12,12,12
0.8,12,12,12
0.8,12,12,12
0.8,12,12,12
0.8,12,12,12
0.8,12,12,12
0.8,12,12,12
0.8,12,12,12
0.8,12,12,12


,Longest Path
X-X-X-X,0.9,0.8,0.7
0.9,888,888,888
0.9,907,907,907
0.9,907,907,907
0.9,907,907,907
0.9,907,907,907
0.9,907,907,907
0.9,907,907,907
0.9,907,907,907
0.9,907,907,907
0.9,1595,1595,1595

0.8,1595,1595,1595
0.8,1595,1595,1595
0.8,1595,1595,1595
0.8,1595,1595,1595
0.8,1595,1595,1595
0.8,1595,1595,1595
0.8,1595,1595,1595
0.8,1595,1595,1595
0.8,1595,1595,1595
0.8,1595,1595,1595


,Total time
X-X-X-X,0.9,0.8,0.7
0.9,0:01:30.018563,0:00:58.645698,0:00:44.399269
0.9,0:01:33.325051,0:01:09.142820,0:00:51.628393
0.9,0:02:02.891045,0:01:38.963174,0:01:01.968698
0.9,0:02:19.247099,0:01:40.874508,0:01:13.466961
0.9,0:02:32.364516,0:01:42.776769,0:01:14.747940
0.9,0:02:37.733395,0:01:58.950810,0:01:22.800205
0.9,0:03:18.448650,0:02:12.955669,0:01:32.025132
0.9,0:03:21.770835,0:02:15.656604,0:01:39.942794
0.9,0:03:45.572334,0:02:31.929079,0:01:52.056982
0.9,0:03:42.722295,0:02:38.968127,0:02:15.433412

0.8,0:04:03.211861,0:03:11.034876,0:02:36.964162
0.8,0:05:44.676042,0:03:37.550448,0:02:46.007739
0.8,0:06:17.006134,0:03:53.749362,0:03:01.468267
0.8,0:06:13.914146,0:04:29.013370,0:03:14.548578
0.8,0:07:06.382222,0:04:10.786773,0:03:09.673639
0.8,0:07:00.089650,0:04:21.845276,0:03:34.586609
0.8,0:05:25.811377,0:04:03.987324,0:03:03.958422
0.8,0:06:27.738393,0:04:32.674676,0:03:22.110366
0.8,0:06:40.772420,0:04:30.726933,0:03:29.403099
0.8,0:07:24.827695,0:04:27.490782,0:03:33.212071


,Q Table
XXXXXX,0.9,,0.8,,0.7,
,Final,Full,Final,Full,Final,Full
0.9,11,73,11,72,11,73
0.9,11,73,11,73,11,71
0.9,11,73,11,73,11,73
0.9,11,72,11,73,11,73
0.9,11,73,11,73,11,73
0.9,11,73,11,73,11,73
0.9,11,73,11,73,11,73
0.9,11,73,11,73,11,73
0.9,11,73,11,72,11,71
0.9,11,73,11,73,11,73

0.8,11,72,11,73,11,73
0.8,11,73,11,73,11,73
0.8,11,73,11,73,11,73
0.8,11,73,11,73,11,73
0.8,11,73,11,72,11,73
0.8,11,73,11,73,11,73
0.8,11,73,11,73,11,73
0.8,11,73,11,73,11,73
0.8,11,73,11,73,11,72
0.8,11,73,11,73,11,73

