,SARSA Learning Algorithm,Episodes:1000,Obstacle Pipe

,Shortest Path
X-X-X-X,0.9,0.8,0.7
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14
0.9,14,14,14

0.8,14,14,14
0.8,14,14,14
0.8,14,14,14
0.8,14,14,14
0.8,14,14,14
0.8,14,14,14
0.8,14,14,14
0.8,14,14,14
0.8,14,14,14
0.8,14,14,14


,Longest Path
X-X-X-X,0.9,0.8,0.7
0.9,1908,1908,1908
0.9,3039,3039,3039
0.9,3039,3039,3039
0.9,3039,3039,3039
0.9,3039,3039,3039
0.9,6351,6351,6351
0.9,6351,6351,6351
0.9,6351,6351,6351
0.9,6351,6351,6351
0.9,6351,6351,6351

0.8,6351,6351,6351
0.8,6351,6351,6351
0.8,6351,6351,6351
0.8,6351,6351,6351
0.8,6351,6351,6351
0.8,6351,6351,6351
0.8,6351,6351,6351
0.8,6351,6351,6351
0.8,6351,6351,6351
0.8,6351,6351,6351


,Total time
X-X-X-X,0.9,0.8,0.7
0.9,0:01:47.749900,0:02:11.907733,0:02:03.333422
0.9,0:01:28.171982,0:01:29.386189,0:01:49.153270
0.9,0:01:31.181246,0:02:20.233581,0:02:13.576869
0.9,0:02:08.246361,0:02:18.437826,0:02:27.494452
0.9,0:02:06.871647,0:02:50.993769,0:03:01.991866
0.9,0:03:29.151112,0:02:51.354968,0:03:11.691331
0.9,0:02:33.630178,0:02:18.209888,0:04:07.452764
0.9,0:05:52.237827,0:03:05.806578,0:03:14.534773
0.9,0:01:50.321415,0:03:26.506989,0:03:07.584712
0.9,0:01:41.275619,0:03:39.358206,0:03:29.769505

0.8,0:05:06.974094,0:04:27.625075,0:04:14.163442
0.8,0:03:20.769392,0:03:30.220565,0:04:29.920653
0.8,0:02:58.852529,0:04:51.368033,0:04:55.728530
0.8,0:03:53.719670,0:05:29.769573,0:05:13.711453
0.8,0:02:55.726927,0:05:22.349183,0:09:17.863247
0.8,0:05:17.153489,0:01:51.024312,0:03:15.431962
0.8,0:07:19.822382,0:04:13.949705,0:06:37.834651
0.8,0:02:57.416896,0:08:24.446333,0:06:07.044020
0.8,0:07:21.669969,0:07:04.830954,0:08:05.278809
0.8,0:05:13.678511,0:07:18.805140,0:08:37.609510


,Q Table
XXXXXX,0.9,,0.8,,0.7,
,Final,Full,Final,Full,Final,Full
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77
0.9,13,77,13,77,13,77

0.8,13,77,13,77,13,77
0.8,13,77,13,77,13,77
0.8,13,77,13,77,13,77
0.8,13,77,13,77,13,77
0.8,13,77,13,77,13,77
0.8,13,77,13,77,13,77
0.8,13,77,13,77,13,77
0.8,13,77,13,77,13,77
0.8,13,77,13,77,13,77
0.8,13,77,13,77,13,77

