,SARSA Learning Algorithm,Episodes:1000,Obstacle

,Shortest Path
X-X-X-X,0.85,0.75,0.65
0.9,12,12,10
0.9,10,10,10
0.9,10,10,10
0.9,10,10,10
0.9,10,10,10
0.9,10,10,10
0.9,10,10,10
0.9,10,10,10
0.9,10,10,10
0.9,10,10,10


,Longest Path
X-X-X-X,0.85,0.75,0.65
0.9,649,649,649
0.9,649,649,649
0.9,649,918,2151
0.9,2151,2151,2151
0.9,2151,2151,2151
0.9,2151,2151,2151
0.9,2151,2151,2151
0.9,2151,2151,8132
0.9,8132,8132,13915
0.9,13915,13915,13915


,Total time
X-X-X-X,0.85,0.75,0.65
0.9,0:00:28.173164,0:00:28.310147,0:00:39.239713
0.9,0:00:32.982675,0:00:35.345020,0:00:22.879274
0.9,0:00:18.643489,0:00:20.819095,0:00:28.501691
0.9,0:00:14.896878,0:00:19.265558,0:00:21.680888
0.9,0:00:13.576921,0:00:18.476995,0:00:19.481673
0.9,0:00:15.169328,0:00:15.798119,0:00:21.244483
0.9,0:00:15.489372,0:00:17.054955,0:00:17.998170
0.9,0:00:13.638360,0:00:19.764338,0:00:37.177335
0.9,0:00:11.983436,0:00:17.869472,0:01:00.602689
0.9,0:00:16.740948,0:00:21.261617,0:00:24.879203


,Q Table
XXXXXX,0.85,,0.75,,0.65,
,Final,Full,Final,Full,Final,Full
0.9,11,81,11,81,9,81
0.9,9,81,9,81,9,81
0.9,9,81,9,81,9,81
0.9,9,81,9,81,9,81
0.9,9,81,9,81,9,81
0.9,9,81,9,81,9,81
0.9,9,81,9,81,9,81
0.9,9,81,9,81,9,81
0.9,9,81,9,81,9,81
0.9,9,81,9,81,9,81

