,Q Learning Algorithm,Episodes:1000,Cliff Walk

,Shortest Path
X-X-X-X,0.9,0.8,0.7
0.9,13.4,13.0,13.0
0.8,13.0,13.0,13.0
0.7,13.0,13.0,13.0

,Longest Path
X-X-X-X,0.9,0.8,0.7
0.9,1865.0,1865.0,1865.0
0.8,1865.0,1865.0,1865.0
0.7,1865.0,1865.0,1865.0

,Total time
X-X-X-X,0.9,0.8,0.7
0.9,0:00:51.656339,0:00:48.172057,0:00:55.100924
0.8,0:01:10.033391,0:01:13.221136,0:01:06.016195
0.7,0:01:31.683512,0:01:26.815399,0:01:19.198114

